epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.8448,0.60094,1.56852,1.08084,0.91646,0.79707,0.85924,0.73708,0.53099,0.73155,0.98974,0.000369263,0.000369263,0.000369263
2,102.512,0.59272,0.7683,1.05181,0.91848,0.78635,0.87248,0.77626,0.46451,0.60386,0.89787,0.000724952,0.000724952,0.000724952
3,151.079,0.58084,0.62451,1.04431,0.91191,0.81144,0.86385,0.75435,0.51859,0.60219,0.9581,0.00106598,0.00106598,0.00106598
4,198.46,0.5777,0.58054,1.04256,0.90456,0.85348,0.89384,0.81686,0.39415,0.43754,0.86696,0.00104501,0.00104501,0.00104501
5,246.598,0.53147,0.51464,1.01579,0.92422,0.83459,0.89265,0.82744,0.37726,0.44115,0.85691,0.00102301,0.00102301,0.00102301
6,295.039,0.51313,0.47984,1.00841,0.93893,0.83241,0.89724,0.82887,0.38631,0.42302,0.86205,0.00100101,0.00100101,0.00100101
7,344.382,0.48977,0.46299,0.99931,0.95857,0.85074,0.90381,0.85774,0.33191,0.32806,0.82396,0.000979013,0.000979013,0.000979013
8,393.762,0.47712,0.44225,0.9898,0.96144,0.84574,0.90411,0.86315,0.30323,0.30083,0.81312,0.000957015,0.000957015,0.000957015
9,443.138,0.45839,0.4238,0.98113,0.94523,0.86223,0.90673,0.86905,0.29225,0.30373,0.81084,0.000935018,0.000935018,0.000935018
10,493.042,0.44893,0.40384,0.97932,0.93904,0.86867,0.91099,0.87467,0.2873,0.28215,0.7994,0.00091302,0.00091302,0.00091302
11,542.782,0.43549,0.39992,0.97103,0.94365,0.86067,0.90674,0.87513,0.26505,0.28905,0.78883,0.000891022,0.000891022,0.000891022
12,592.478,0.42474,0.39137,0.9657,0.94954,0.87273,0.91253,0.87811,0.27009,0.27272,0.79299,0.000869024,0.000869024,0.000869024
13,641.146,0.41325,0.37665,0.95994,0.94104,0.87374,0.91024,0.87992,0.25842,0.26482,0.78744,0.000847026,0.000847026,0.000847026
14,689.953,0.40758,0.37059,0.95867,0.94899,0.87214,0.91078,0.88515,0.24785,0.25983,0.77864,0.000825029,0.000825029,0.000825029
15,738.805,0.40646,0.37065,0.95797,0.94975,0.88222,0.91816,0.89381,0.24778,0.25322,0.7811,0.000803031,0.000803031,0.000803031
16,787.165,0.3936,0.35697,0.95013,0.93606,0.88105,0.91867,0.89482,0.23385,0.24878,0.7739,0.000781033,0.000781033,0.000781033
17,835.193,0.39006,0.35829,0.95176,0.95123,0.87069,0.91459,0.88877,0.23784,0.2538,0.7774,0.000759035,0.000759035,0.000759035
18,883.478,0.38587,0.34337,0.94936,0.9505,0.87881,0.91989,0.89597,0.23445,0.24403,0.77861,0.000737037,0.000737037,0.000737037
19,930.787,0.37357,0.33716,0.94263,0.94391,0.88503,0.92451,0.90098,0.22171,0.22569,0.77038,0.00071504,0.00071504,0.00071504
20,977.738,0.37634,0.33682,0.94397,0.9507,0.88683,0.92313,0.90241,0.22391,0.22932,0.76921,0.000693042,0.000693042,0.000693042
21,1024.42,0.37184,0.33378,0.94451,0.96353,0.86972,0.9212,0.90241,0.216,0.22133,0.76984,0.000671044,0.000671044,0.000671044
22,1071.67,0.36703,0.3261,0.94196,0.95436,0.88494,0.9199,0.90194,0.2073,0.21845,0.76135,0.000649046,0.000649046,0.000649046
23,1119.08,0.35698,0.31915,0.93541,0.97258,0.87031,0.92105,0.90307,0.20637,0.21702,0.76086,0.000627048,0.000627048,0.000627048
24,1166.22,0.3543,0.31778,0.93491,0.96658,0.87118,0.92519,0.90841,0.20162,0.20962,0.75671,0.000605051,0.000605051,0.000605051
25,1213.83,0.34799,0.30889,0.93169,0.96182,0.87976,0.92643,0.90769,0.20293,0.21158,0.75881,0.000583053,0.000583053,0.000583053
26,1261.66,0.34227,0.30696,0.92892,0.94793,0.88964,0.92466,0.90872,0.19423,0.20344,0.75153,0.000561055,0.000561055,0.000561055
27,1308.52,0.33694,0.29697,0.9258,0.9529,0.88259,0.92174,0.90661,0.19563,0.20742,0.75394,0.000539057,0.000539057,0.000539057
